run,Accuracies,Precisions,Recalls,F1s,AUCs,Durations,Memory_KB
0,0.5906040268456376,0.645179190751445,0.7349046015712682,0.5666952707856598,0.7349046015712682,0.012473106384277344,24544.8330078125
1,0.5805369127516778,0.6455852827193351,0.736642380085003,0.5582043527249007,0.736642380085003,0.009716033935546875,24529.2080078125
2,0.5637583892617449,0.6189091915836102,0.71475,0.5316731141199227,0.71475,0.009884834289550781,24435.5478515625
3,0.5100671140939598,0.6176788522012578,0.6995833333333333,0.4907771535580524,0.6995833333333333,0.009994983673095703,24435.3203125
4,0.5503355704697986,0.6237899608065354,0.6961466517022072,0.5299905838041431,0.6961466517022072,0.009921073913574219,24544.8330078125
5,0.5604026845637584,0.6273287575290657,0.7199193548387097,0.5339469694256413,0.7199193548387097,0.009361982345581055,24466.7080078125
6,0.5906040268456376,0.6668096872616324,0.7336404914529915,0.5787449017426771,0.7336404914529915,0.00957489013671875,24685.4580078125
7,0.5469798657718121,0.6311475409836066,0.73,0.5228607009428927,0.73,0.009812116622924805,24435.5029296875
8,0.587248322147651,0.6531367041198501,0.7381160369804178,0.5679377615371015,0.7381160369804178,0.010040044784545898,24576.1728515625
9,0.5503355704697986,0.6283231808093687,0.7227276452749775,0.5256355428842956,0.7227276452749775,0.009847164154052734,24451.0830078125
